Date: ,StepCount,TotalDistance,VeryActiveMinutes,VeryActiveMinutes/2,Calories
1/1/23,22278,10.91,0,0,4154
1/2/23,18981,9.31,0,0,3906
1/3/23,21779,10.68,0,0,4115
1/4/23,9408,4.56,0,0,3348
1/5/23,22051,12.66,64,32,5148
1/6/23,10599,5.2,0,0,3393
1/7/23,22329,13.52,90,45,4566
1/8/23,8836,4.32,0,0,3321
1/9/23,11040,5.36,0,0,3522
1/10/23,13917,7.87,54,27,3801
1/11/23,14088,6.42,0,0,3663
1/12/23,18120,10.17,92,46,4052
1/13/23,15579,8.14,24,12,3747
1/14/23,15675,8.68,76,38,4045
1/15/23,12482,6.12,0,0,3531
1/16/23,12536,6.13,6,3,3743
1/17/23,18268,10.15,62,31,4092
1/18/23,11654,5.83,16,8,3531
1/19/23,13983,7.63,46,23,3715
1/20/23,10032,5.25,36,18,3370
1/21/23,14366,7.23,10,5,3704
1/22/23,11608,5.68,0,0,3421
1/23/23,17396,9.81,86,43,4024
1/24/23,8782,4.13,0,0,3251
1/25/23,14335,8.44,62,31,3330
1/26/23,12557,6.32,24,12,3578
1/27/23,13188,7.75,104,52,3998
1/28/23,16544,8.39,58,29,4434
1/29/23,9394,4.6,0,0,3431
1/30/23,10032,5.34,38,19,3334
1/31/23,13714,7.84,66,33,3787
2/1/23,13708,7.56,46,23,3652
2/2/23,12845,6.47,44,22,3663
2/3/23,11670,6.28,32,16,3708
2/4/23,19636,10.35,48,24,4445
2/5/23,8365,4.1,0,0,3282
2/6/23,12107,6.55,60,30,3496
2/7/23,14241,6.91,0,0,3904
2/8/23,10529,4.99,0,0,3474
2/9/23,13248,7.73,66,33,3536
2/10/23,12668,5.86,18,9,3509
2/11/23,18311,10.3,94,47,4121
2/12/23,7787,3.82,0,0,3450
2/13/23,17345,9.64,100,50,4371
2/14/23,12945,6.35,44,22,3879
2/15/23,9690,4.57,18,9,3501
2/16/23,14824,8.65,82,41,3994
2/17/23,15934,7.93,24,12,3721
2/18/23,15223,7.26,8,4,3938
2/19/23,16089,7.88,0,0,3722
2/20/23,15003,8.55,68,34,3970
2/21/23,6461,3.17,0,0,3154
2/22/23,11047,5.34,20,10,3690
2/23/23,14583,7.03,12,6,3890
2/24/23,10807,6.12,48,24,3486
2/25/23,12083,7.17,84,42,3636
2/26/23,13979,6.85,0,0,3683
2/27/23,12869,6.05,0,0,3589
2/28/23,9083,4.51,14,7,3430
3/1/23,12627,6.19,0,0,3632
3/2/23,13355,6.68,20,10,3649
3/3/23,9945,5.05,0,0,3203
3/4/23,10319,5.44,104,52,3344
3/5/23,10678,5.24,0,0,3200
3/6/23,17839,10.2,28,14,4149
3/7/23,8601,4.22,0,0,3424
3/8/23,13380,6.3,28,14,3892
3/9/23,9831,4.91,16,8,3579
3/10/23,13202,7.53,56,28,3638
3/11/23,14977,7.08,14,7,3796
3/12/23,8905,4.37,0,0,3325
3/13/23,20281,9.82,8,4,4411
3/14/23,19097,10.69,74,37,4054
3/15/23,10501,5.15,0,0,3465
3/16/23,14473,7.107,0,0,3418
3/17/23,10083,5.88,46,23,3444
3/18/23,13829,6.86,24,12,4134
3/19/23,10256,5.03,10,5,3294
3/20/23,7293,3.33,0,0,3103
3/21/23,13186,6.76,30,15,3646
3/22/23,11320,5.7,18,9,3408
3/23/23,10142,6.24,62,31,3369
3/24/23,11133,5.04,4,2,3587
3/25/23,12073,5.92,0,0,3567
3/26/23,11827,5.8,0,0,3551
3/27/23,11981,6.04,14,7,3648
3/28/23,11849,5.81,8,4,3401
3/29/23,12707,6.18,28,14,3904
3/30/23,9391,4.61,0,0,3312
3/31/23,13404,7.04,28,14,3708
4/1/23,17284,9.67,64,32,4342
4/2/23,12478,6.1,0,0,3589
4/3/23,13703,6.7,42,21,4106
4/4/23,14195,7.88,60,30,4173
4/5/23,11174,5.43,16,8,3461
4/6/23,26246,12,14,7,4587
4/7/23,18134,9.62,52,26,4055
4/8/23,22545,11.02,10,5,4213
4/9/23,23680,11.58,0,0,4263
4/10/23,25941,11.5,28,14,4797
4/11/23,11135,5.29,0,0,3582
4/12/23,19862,10.6,54,27,4269
4/13/23,12188,5.97,4,2,3574
4/14/23,6888,3.38,0,0,2993
4/15/23,17616,9.82,70,35,4371
4/16/23,10228,4.98,0,0,3787
4/17/23,9551,4.61,0,0,4292
4/18/23,15142,7.38,20,10,4160
4/19/23,7429,3.61,0,0,3063
4/20/23,14848,7.76,36,18,3960
4/21/23,14212,6.97,0,0,3593
4/22/23,16443,7.84,4,2,4021
4/23/23,17329,8.38,0,0,3909
4/24/23,10323,4.75,2,1,3593
4/25/23,13958,6.82,14,7,3843
4/26/23,15004,8.42,84,42,3943
4/27/23,11190,5.44,14,7,3629
4/28/23,9158,4.55,16,8,3413
4/29/23,25611,15.39,114,57,5509
4/30/23,13841,6.79,0,0,3443
5/1/23,8437,4.25,12,6,3358
5/2/23,20634,11.56,78,39,4543
5/3/23,13498,6.65,14,7,3858
5/4/23,15967,7.74,10,5,3859
5/5/23,11389,5.55,32,16,6577
5/6/23,22306,13.72,126,63,4668
5/7/23,15226,7.41,2,1,3606
5/8/23,10868,5.31,6,3,3445
5/9/23,10126,4.97,14,7,3173
5/10/23,13945,8.12,74,37,4262
5/11/23,17059,9.13,50,25,4203
5/12/23,11372,5.56,16,8,3732
5/13/23,24371,15.1,124,62,5033
5/14/23,11468,5.61,0,0,3455
5/15/23,13049,6.21,6,3,3689
5/16/23,14327,7.57,28,14,3555
5/17/23,11634,5.85,22,11,3593
5/18/23,11344,6.77,72,36,3863
5/19/23,10061,4.96,18,9,3667
5/20/23,30197,17.99,132,66,5817
5/21/23,16832,8.23,0,0,3858
5/22/23,11289,5.72,18,9,3542
5/23/23,11957,7.19,60,30,3664
5/24/23,17328,8.35,6,3,3905
5/25/23,15914,9.02,76,38,4140
5/26/23,11595,5.4,0,0,3491
5/27/23,24131,15.77,154,77,4936
5/28/23,13272,6.51,0,0,3461
5/29/23,23497,11.75,28,14,4397
5/30/23,14847,7.16,0,0,3820
5/31/23,12342,6.7,52,26,3672
6/1/23,131911,6.81,18,9,3899
6/2/23,12212,5.74,0,0,3468
6/3/23,29678,18.65,170,85,5598
6/4/23,11460,5.59,0,0,3415
6/5/23,22976,12.36,68,34,4511
6/6/23,19425,9.35,0,0,3884
6/7/23,14923,7.58,24,12,3893
6/8/23,17561,8.29,8,4,3935
6/9/23,11217,5.55,26,13,3433
6/10/23,38627,23.45,186,93,6344
6/11/23,12724,6.22,0,0,3495
6/12/23,12787,6.32,4,2,3602
6/13/23,12706,7.5,60,30,3612
6/14/23,15571,7.66,26,13,4120
6/15/23,9421,4.6,0,0,3055
6/16/23,27255,14.6,62,31,4945
6/17/23,26182,14.52,72,36,5461
6/18/23,12473,6.09,0,0,3588
6/19/23,26422,11.81,0,0,4638
6/20/23,17181,8.44,14,7,4243
6/21/23,18739,10.51,66,33,4510
6/22/23,17658,8.56,0,0,3991
6/23/23,19658,9.64,18,9,4389
6/24/23,23725,11.63,0,0,4351
6/25/23,18094,8.82,0,0,4099
6/26/23,16912,8.97,60,30,4318
6/27/23,10857,5.45,36,18,3631
6/28/23,15985,7.96,8,4,3860
6/29/23,16865,10.55,102,51,4513
6/30/23,14860,7.48,38,19,3995
7/1/23,24476,13.01,78,39,5145
7/2/23,18690,9.16,6,3,4181
7/3/23,15497,7.6,0,0,3793
7/4/23,27581,16.07,122,61,5326
7/5/23,13535,6.42,10,5,3663
7/6/23,15898,7.75,8,4,4028
7/7/23,11119,5.33,4,2,3821
7/8/23,13558,6.65,0,0,3639
7/9/23,12565,6.16,0,0,3451
7/10/23,17739,9.18,38,19,4479
7/11/23,16412,7.87,24,12,4056
7/12/23,8461,4.13,0,0,3206
7/13/23,8170,4.15,38,19,3484
7/14/23,10108,4.94,12,6,3536
7/15/23,23643,14.19,120,60,4638
7/16/23,16831,8.24,0,0,3728
7/17/23,14376,7.12,7,3.5,3812
7/18/23,9706,5.76,24,12,3497
7/19/23,10806,5.73,9,4.5,3428
7/20/23,15453,7.27,4,2,4191
7/21/23,11519,5.65,0,0,3678
7/22/23,24768,10.09,6,3,5286
7/23/23,11172,5.93,8,4,3267
7/24/23,15250,7.6,0,0,3886
7/25/23,14492,6.95,7,3.5,4268
7/26/23,13096,7.43,24,12,4177
7/27/23,9358,4.41,0,0,3566
7/28/23,13999,6.85,2,1,4015
7/29/23,17335,8.5,0,0,4243
7/30/23,16318,7.96,0,0,4151
7/31/23,10436,5.89,23,11.5,3907
