Id,ActivityDate,ActivityDay,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,4/12/2016,Tue,13162,5.28,25,13,328,728,1985
1503960366,4/13/2016,Wed,10735,4.33,21,19,217,776,1797
1503960366,4/14/2016,Thu,10460,4.19,30,11,181,1218,1776
1503960366,4/15/2016,Fri,9762,3.9,29,34,209,726,1745
1503960366,4/16/2016,Sat,12669,5.07,36,10,221,773,1863
1503960366,4/17/2016,Sun,9705,4.03,38,20,164,539,1728
1503960366,4/18/2016,Mon,13019,5.34,42,16,233,1149,1921
1503960366,4/19/2016,Tue,15506,6.14,50,31,264,775,2035
1503960366,4/20/2016,Wed,10544,4.15,28,12,205,818,1786
1503960366,4/21/2016,Thu,9819,3.94,19,8,211,838,1775
1503960366,4/22/2016,Fri,12764,5.05,66,27,130,1217,1827
1503960366,4/23/2016,Sat,14371,5.62,41,21,262,732,1949
1503960366,4/24/2016,Sun,10039,3.98,39,5,238,709,1788
1503960366,4/25/2016,Mon,15355,6.09,73,14,216,814,2013
1503960366,4/26/2016,Tue,13755,5.46,31,23,279,833,1970
1503960366,4/27/2016,Wed,18134,7.59,78,11,243,1108,2159
1503960366,4/28/2016,Thu,13154,5.3,48,28,189,782,1898
1503960366,4/29/2016,Fri,11181,4.44,16,12,243,815,1837
1503960366,4/30/2016,Sat,14673,5.75,52,34,217,712,1947
1503960366,5/1/2016,Sun,10602,4.23,33,35,246,730,1820
1503960366,5/2/2016,Mon,14727,6.03,41,15,277,798,2004
1503960366,5/3/2016,Tue,15103,6.0,50,24,254,816,1990
1503960366,5/4/2016,Wed,11100,4.44,36,22,203,1179,1819
1503960366,5/5/2016,Thu,14070,5.53,45,24,250,857,1959
1503960366,5/6/2016,Fri,12159,4.99,24,6,289,754,1896
1503960366,5/7/2016,Sat,11992,4.79,37,46,175,833,1821
1503960366,5/8/2016,Sun,10060,4.09,44,8,203,574,1740
1503960366,5/9/2016,Mon,12022,4.8,46,11,206,835,1819
1503960366,5/10/2016,Tue,12207,4.83,46,31,214,746,1859
1503960366,5/11/2016,Wed,12770,5.05,36,23,251,669,1783
1624580081,4/12/2016,Tue,8163,3.3,0,0,146,1294,1432
1624580081,4/13/2016,Wed,7007,2.83,0,0,148,1292,1411
1624580081,4/14/2016,Thu,9107,3.68,0,0,236,1204,1572
1624580081,4/15/2016,Fri,1510,0.61,0,0,96,1344,1344
1624580081,4/16/2016,Sat,5370,2.17,0,0,176,1264,1463
1624580081,4/17/2016,Sun,6175,2.52,15,22,127,1276,1554
1624580081,4/18/2016,Mon,10536,4.6,17,7,202,1214,1604
1624580081,4/19/2016,Tue,2916,1.18,0,0,141,1299,1435
1624580081,4/20/2016,Wed,4974,2.01,0,0,151,1289,1446
1624580081,4/21/2016,Thu,6349,2.57,0,0,186,1254,1467
1624580081,4/22/2016,Fri,4026,1.63,0,0,199,1241,1470
1624580081,4/23/2016,Sat,8538,3.45,0,0,227,1213,1562
1624580081,4/24/2016,Sun,6076,2.45,16,18,185,1221,1617
1624580081,4/25/2016,Mon,6497,2.62,0,0,202,1238,1492
1624580081,4/26/2016,Tue,2826,1.14,0,0,140,1300,1402
1624580081,4/27/2016,Wed,8367,3.38,17,36,154,1233,1670
1624580081,4/28/2016,Thu,2759,1.11,0,5,115,1320,1401
1624580081,4/29/2016,Fri,2390,0.96,0,0,150,1290,1404
1624580081,4/30/2016,Sat,6474,2.67,11,23,224,1182,1655
1624580081,5/1/2016,Sun,36019,17.42,186,63,171,1020,2690
1624580081,5/2/2016,Mon,7155,3.06,7,6,166,1261,1497
1624580081,5/3/2016,Tue,2100,0.85,0,0,96,1344,1334
1624580081,5/4/2016,Wed,2193,0.89,0,0,118,1322,1368
1624580081,5/5/2016,Thu,2470,1.0,0,0,117,1323,1370
1624580081,5/6/2016,Fri,1727,0.7,0,0,102,1338,1341
1624580081,5/7/2016,Sat,2104,0.85,0,0,182,1258,1474
1624580081,5/8/2016,Sun,3427,1.39,0,0,152,1288,1427
1624580081,5/9/2016,Mon,1732,0.7,0,0,91,1349,1328
1624580081,5/10/2016,Tue,2969,1.2,0,0,139,1301,1393
